"YEAR","NEWCOURSECODE","NEWCOURSETITLE","STUDYLEVEL","COMMUTELENGTH","ACCOMMODATIONTYPE","CAMPUSPOSTCODE","AVERAGEMODULEMARK","PERCENTAGEATTENDANCE","DEGREETYPE","DEGREECLASS"
"2016/17","BAJMC06F","BA Television Production FT","Level 4",0.59,"UoW Halls","HA1 3TP",67,72.62,"BA","2:i"
"2017/18","BAJMC06F","BA Television Production FT","Level 5",2.24,"UoW Halls","HA1 3TP",64,82.89,"BA","2:i"
"2016/17","BSPSY02F","BSc Psychology FT","Level 4",6.64,"UoW Halls","W1W 6XH",0,23.61,"BSc","3rd"
"2017/18","BAFAS02F","BA Fashion Design FT","Level 6",8.02,"Other inc. Private Halls","HA1 3TP",63,0,"BA","2:i"
"2016/17","BSCSS02F","BSc Computer Science FT","Level 6",5.12,"Other inc. Private Halls","W1W 6XH",85,28.57,"BSc","1st"
"2017/18","BATOE01F","BA Tourism and Events Management FT","Level 4",6.07,"UoW Halls","NW1 5LS",53,43.53,"BA","2:ii"
"2016/17","BATFM01F","BA Film FT","Level 6",0.56,"Other inc. Private Halls","HA1 3TP",73,11.11,"BA","1st"
"2016/17","BAPIR01F","BA International Relations and Development FT","Level 6",4.76,"Commuter","W1B 2HW",67,44,"BA","2:i"
"2016/17","BSNUT01F","BSc Human Nutrition FT","Level 5",0.09,"Other inc. Private Halls","W1W 6XH",79,67.07,"BSc","1st"
"2017/18","BSNUT01F","BSc Human Nutrition FT","Level 6",0.61,"Other inc. Private Halls","W1W 6XH",87,47.89,"BSc","1st"
"2016/17","BAJMC06F","BA Television Production FT","Level 6",2.13,"Other inc. Private Halls","HA1 3TP",65,20.25,"BA","2:i"
"2017/18","BABSM06F","BA Business Management FT","Level 4",5.83,"Other inc. Private Halls","NW1 5LS",61,76.39,"BA","2:i"
"2017/18","BATOE02F","BA Tourism Planning and Management FT","Level 4",8.77,"Unknown","NW1 5LS",52,67.57,"BA","2:ii"
"2017/18","BABSM06F","BA Business Management FT","Level 4",6.07,"Other inc. Private Halls","NW1 5LS",69,53.42,"BA","2:i"
"2016/17","BSPSY02F","BSc Psychology FT","Level 6",4.05,"Commuter","W1W 6XH",60,54.93,"BSc","2:i"
"2016/17","BAADS02F","BA Graphic Communication Design FT","Level 6",2.24,"UoW Halls","HA1 3TP",52,48.24,"BA","2:ii"
"2016/17","BSPSY02F","BSc Psychology FT","Level 5",6.77,"Commuter","W1W 6XH",61,59.21,"BSc","2:i"
"2017/18","BSPSY02F","BSc Psychology FT","Level 6",6.77,"Commuter","W1W 6XH",66,50.7,"BSc","2:i"
"2017/18","BAHIS01F","BA History and Politics FT","Level 5",5.15,"Other inc. Private Halls","W1B 2HW",24,36.11,"BA","3rd"
