STUDENTID,YEAR,NEWCOURSECODE,NEWCOURSETITLE,STUDYLEVEL,COMMUTELENGTH,ACCOMMODATIONTYPE,CAMPUSPOSTCODE,AVERAGEMODULEMARK,ACTUALATTENDANCEDAYS,EXPECTEDATTENDANCEDAYS
"A'-8+E90-2_A4#+[&([Y<,",2016/17,BSPOC05F,BSc Property and Planning FT,Level 4,2,Commuter,NW1 5LS,,6,75
"A'$*5AF2!""Z&O=TGH;4-:#",2017/18,BAMRK01F,BA International Marketing FT,Level 4,49.27,Unknown,NW1 5LS,,49,72
A'(91M-NI4S8@I4)&/)G)$,2016/17,BAJMC06F,BA Television Production FT,Level 4,0.59,UoW Halls,HA1 3TP,67,61,84
A'(91M-NI4S8@I4)&/)G)$,2017/18,BAJMC06F,BA Television Production FT,Level 5,2.24,UoW Halls,HA1 3TP,64,63,76
"A-(K?DOY""YV@1L%*U=F\6/",2016/17,BSPSY02F,BSc Psychology FT,Level 4,6.64,UoW Halls,W1W 6XH,0,17,72
A-.CJ_!`F@G!E_#_WC^QU',2017/18,BSBIO01F,BSc Biochemistry FT,Level 4,9.3,Commuter,W1W 6XH,,70,94
"A';6R`OVS/P^,FMM5F6P$/",2017/18,BAFAS02F,BA Fashion Design FT,Level 6,8.02,Other inc. Private Halls,HA1 3TP,63,0,152
"A';W`(N>[S@GL'K_Y=8N"")",2016/17,BABSM06F,BA Business Management FT,Level 6,,Unknown,NW1 5LS,61,62,72
"A-?[,*AI5`\HFY!NSE5``.",2016/17,BSCSS02F,BSc Computer Science FT,Level 6,5.12,Other inc. Private Halls,W1W 6XH,85,30,105
A-?80#H+R=`)'[.AZ)>HW%,2017/18,BATOE01F,BA Tourism and Events Management FT,Level 4,6.07,UoW Halls,NW1 5LS,53,37,85
"A-@<D6_L@""E1!76YO/*T./",2016/17,BATFM01F,BA Film FT,Level 6,0.56,Other inc. Private Halls,HA1 3TP,73,14,126
A'`=='W\%EQ8YY?Q?&7OW.,2016/17,BAPIR01F,BA International Relations and Development FT,Level 6,4.76,Commuter,W1B 2HW,67,22,50
"A-+O#,]/!*?:7^)J>37\`/",2016/17,BENLPRM,UG English,Level 6,7.04,Commuter,W1B 2HW,61,38,61
A-=Z6;HAUQ:M'?TLYFLGQ.,2016/17,BSNUT01F,BSc Human Nutrition FT,Level 5,0.09,Other inc. Private Halls,W1W 6XH,79,55,82
A-=Z6;HAUQ:M'?TLYFLGQ.,2017/18,BSNUT01F,BSc Human Nutrition FT,Level 6,0.61,Other inc. Private Halls,W1W 6XH,87,34,71
"A-1,<N<;8Q4B%WKCE;,[:(",2016/17,BAJMC06F,BA Television Production FT,Level 6,2.13,Other inc. Private Halls,HA1 3TP,65,16,79
"A'1[?2.3YFEMXR[5^/S[)""",2017/18,BABSM06F,BA Business Management FT,Level 4,5.83,Other inc. Private Halls,NW1 5LS,61,55,72
"A-2`S0K""XY[$*)_I.T=?X)",2017/18,BATOE02F,BA Tourism Planning and Management FT,Level 4,8.77,Unknown,NW1 5LS,52,50,74
A'2DG!W\KK?/IB85*(BJD-,2017/18,BABSM06F,BA Business Management FT,Level 4,6.07,Other inc. Private Halls,NW1 5LS,69,39,73
A-95P0$<V>W_-'<ZP6#6W),2016/17,BSPSY02F,BSc Psychology FT,Level 6,4.05,Commuter,W1W 6XH,60,39,71
"A-C_R4!->YI!`,6G$,LQ\!",2016/17,BAADS02F,BA Graphic Communication Design FT,Level 6,2.24,UoW Halls,HA1 3TP,52,41,85
A-D#;QDQ</.D^N.WIYL/:0,2016/17,BSPSY02F,BSc Psychology FT,Level 5,6.77,Commuter,W1W 6XH,61,45,76
A-D#;QDQ</.D^N.WIYL/:0,2017/18,BSPSY02F,BSc Psychology FT,Level 6,6.77,Commuter,W1W 6XH,66,36,71
A'E#5X2N7?E*-R\1?SC9)&,2017/18,BAHIS01F,BA History and Politics FT,Level 5,5.15,Other inc. Private Halls,W1B 2HW,24,26,72
"A-F$&)A!&H]-QF/G9Q8C7,",2017/18,BAJMC06F,BA Television Production FT,Level 4,0.59,UoW Halls,HA1 3TP,64,43,84
A-FA&=5*T(4I%DPY`K\;30,2016/17,BAFAS02F,BA Fashion Design FT,Level 4,12.95,Commuter,HA1 3TP,60,0,120
A-FA&=5*T(4I%DPY`K\;30,2017/18,BAFAS02F,BA Fashion Design FT,Level 5,12.95,Commuter,HA1 3TP,64,4,147
A'G?9HNK=<?O`(OIF3H+X+,2016/17,BAARC01F,BA Architecture FT,Level 6,0.58,Other inc. Private Halls,NW1 5LS,13,13,83
A-H^N^@;ME]#!V48KELK)(,2017/18,BABSM06F,BA Business Management FT,Level 4,6.07,UoW Halls,NW1 5LS,65,67,82
A'H`AS`J>I#[3!PL&K2[H.,2016/17,BACRI02F,BA Sociology and Criminology FT,Level 6,3.92,Commuter,W1B 2HW,62,27,70
A-JN^&BFD2OP/SD4`G-LE!,2016/17,BABSM06F,BA Business Management FT,Level 6,0.81,Other inc. Private Halls,NW1 5LS,64,40,75
"A'JQ\JEEP-35*VN6,Q@=E&",2016/17,BLLAW02F,LLB Law FT,Level 6,8.23,Commuter,W1B 2HW,43,21,78
"A-K\-KNH$:'L@,32H5WG^)",2016/17,BMMUS01F,BMus Commercial Music Performance FT,Level 4,16.34,Unknown,HA1 3TP,29,21,63
"A'P""%3""D^#`\D\!7H`(^*)",2017/18,BLLAW03F,LLB Law with French Law FT,Level 4,4.06,Other inc. Private Halls,W1B 2HW,63,60,74
"A'RB0G""P,I;;FG#!4B5OH$",2016/17,BAARC02F,BA Interior Architecture FT,Level 5,6.84,Commuter,NW1 5LS,62,14,72
"A'RB0G""P,I;;FG#!4B5OH$",2017/18,BAARC02F,BA Interior Architecture FT,Level 6,6.84,Commuter,NW1 5LS,65,4,71
A'Z3*0(O:?F$>LHM`E$<9),2016/17,BAADS04F,BA Fine Art Mixed Media FT,Level 5,0.59,UoW Halls,HA1 3TP,67,25,84
A'Z3*0(O:?F$>LHM`E$<9),2017/18,BAADS04F,BA Fine Art Mixed Media FT,Level 6,0.59,UoW Halls,HA1 3TP,69,20,95
A!$>$%#B3^F7IINN5_1<2$,2016/17,BABSM06F,BA Business Management FT,Level 5,6.07,UoW Halls,NW1 5LS,57,55,86
A!$>$%#B3^F7IINN5_1<2$,2017/18,BABSM06F,BA Business Management FT,Level 6,6.07,UoW Halls,NW1 5LS,57,45,75
"A!%L@7-C*7<2$+4(-J!RV""",2016/17,BMMUS01F,BMus Commercial Music Performance FT,Level 6,0.25,Other inc. Private Halls,HA1 3TP,67,11,52
"A!,)O9NN:8RI?4'Y""""[?H/",2016/17,BAARC01F,BA Architecture FT,Level 6,1.32,Other inc. Private Halls,NW1 5LS,50,3,83
"A!/M6C0?,OMGT6BCF;;LP/",2016/17,BAMRK03F,BA Marketing Management FT,Level 4,9.07,Commuter,NW1 5LS,56,36,86
"A!/M6C0?,OMGT6BCF;;LP/",2017/18,BAMRK03F,BA Marketing Management FT,Level 5,9.07,Commuter,NW1 5LS,66,26,63
